dataset_id,repeat_id,fold_id,sample_id,split,class_label
GDS2771,1,1,GSM94126,train,no_cancer
GDS2771,1,1,GSM94127,train,no_cancer
GDS2771,1,1,GSM94128,train,no_cancer
GDS2771,1,1,GSM94129,train,no_cancer
GDS2771,1,1,GSM94130,train,no_cancer
GDS2771,1,1,GSM94131,train,no_cancer
GDS2771,1,1,GSM94132,train,no_cancer
GDS2771,1,1,GSM94133,train,no_cancer
GDS2771,1,1,GSM94135,train,no_cancer
GDS2771,1,1,GSM94136,train,no_cancer
GDS2771,1,1,GSM94137,train,no_cancer
GDS2771,1,1,GSM94138,train,no_cancer
GDS2771,1,1,GSM94139,train,no_cancer
GDS2771,1,1,GSM94140,train,no_cancer
GDS2771,1,1,GSM94141,train,no_cancer
GDS2771,1,1,GSM94142,train,no_cancer
GDS2771,1,1,GSM94144,train,no_cancer
GDS2771,1,1,GSM94145,train,no_cancer
GDS2771,1,1,GSM94146,train,no_cancer
GDS2771,1,1,GSM94147,train,no_cancer
GDS2771,1,1,GSM94148,train,no_cancer
GDS2771,1,1,GSM98785,train,no_cancer
GDS2771,1,1,GSM98787,train,no_cancer
GDS2771,1,1,GSM98788,train,no_cancer
GDS2771,1,1,GSM98789,train,no_cancer
GDS2771,1,1,GSM98790,train,no_cancer
GDS2771,1,1,GSM98791,train,no_cancer
GDS2771,1,1,GSM98792,train,no_cancer
GDS2771,1,1,GSM98793,train,no_cancer
GDS2771,1,1,GSM98794,train,no_cancer
GDS2771,1,1,GSM98795,train,no_cancer
GDS2771,1,1,GSM98796,train,no_cancer
GDS2771,1,1,GSM98797,train,no_cancer
GDS2771,1,1,GSM98798,train,no_cancer
GDS2771,1,1,GSM98799,train,no_cancer
GDS2771,1,1,GSM98801,train,no_cancer
GDS2771,1,1,GSM94019,train,cancer
GDS2771,1,1,GSM94020,train,cancer
GDS2771,1,1,GSM94021,train,cancer
GDS2771,1,1,GSM94022,train,cancer
GDS2771,1,1,GSM94023,train,cancer
GDS2771,1,1,GSM94024,train,cancer
GDS2771,1,1,GSM94025,train,cancer
GDS2771,1,1,GSM94026,train,cancer
GDS2771,1,1,GSM94027,train,cancer
GDS2771,1,1,GSM94029,train,cancer
GDS2771,1,1,GSM94030,train,cancer
GDS2771,1,1,GSM94031,train,cancer
GDS2771,1,1,GSM94032,train,cancer
GDS2771,1,1,GSM94034,train,cancer
GDS2771,1,1,GSM94035,train,cancer
GDS2771,1,1,GSM94036,train,cancer
GDS2771,1,1,GSM94037,train,cancer
GDS2771,1,1,GSM94039,train,cancer
GDS2771,1,1,GSM94040,train,cancer
GDS2771,1,1,GSM94041,train,cancer
GDS2771,1,1,GSM94042,train,cancer
GDS2771,1,1,GSM94043,train,cancer
GDS2771,1,1,GSM94044,train,cancer
GDS2771,1,1,GSM94046,train,cancer
GDS2771,1,1,GSM94047,train,cancer
GDS2771,1,1,GSM94048,train,cancer
GDS2771,1,1,GSM94049,train,cancer
GDS2771,1,1,GSM94050,train,cancer
GDS2771,1,1,GSM94052,train,cancer
GDS2771,1,1,GSM94053,train,cancer
GDS2771,1,1,GSM94054,train,cancer
GDS2771,1,1,GSM94055,train,cancer
GDS2771,1,1,GSM94056,train,cancer
GDS2771,1,1,GSM94057,train,cancer
GDS2771,1,1,GSM94058,train,cancer
GDS2771,1,1,GSM94059,train,cancer
GDS2771,1,1,GSM94060,train,cancer
GDS2771,1,1,GSM94061,train,cancer
GDS2771,1,1,GSM94062,train,cancer
GDS2771,1,1,GSM94064,train,cancer
GDS2771,1,1,GSM94065,train,cancer
GDS2771,1,1,GSM94066,train,cancer
GDS2771,1,1,GSM94067,train,cancer
GDS2771,1,1,GSM94068,train,cancer
GDS2771,1,1,GSM94069,train,cancer
GDS2771,1,1,GSM94070,train,cancer
GDS2771,1,1,GSM94071,train,cancer
GDS2771,1,1,GSM94072,train,cancer
GDS2771,1,1,GSM94073,train,cancer
GDS2771,1,1,GSM94074,train,cancer
GDS2771,1,1,GSM94075,train,cancer
GDS2771,1,1,GSM94155,train,cancer
GDS2771,1,1,GSM94156,train,cancer
GDS2771,1,1,GSM94157,train,cancer
GDS2771,1,1,GSM94160,train,cancer
GDS2771,1,1,GSM94161,train,cancer
GDS2771,1,1,GSM94162,train,cancer
GDS2771,1,1,GSM94163,train,cancer
GDS2771,1,1,GSM94164,train,cancer
GDS2771,1,1,GSM94165,train,cancer
GDS2771,1,1,GSM94167,train,cancer
GDS2771,1,1,GSM94168,train,cancer
GDS2771,1,1,GSM94169,train,cancer
GDS2771,1,1,GSM94170,train,cancer
GDS2771,1,1,GSM94171,train,cancer
GDS2771,1,1,GSM94172,train,cancer
GDS2771,1,1,GSM94173,train,cancer
GDS2771,1,1,GSM94174,train,cancer
GDS2771,1,1,GSM94176,train,cancer
GDS2771,1,1,GSM94178,train,cancer
GDS2771,1,1,GSM98767,train,cancer
GDS2771,1,1,GSM98768,train,cancer
GDS2771,1,1,GSM98769,train,cancer
GDS2771,1,1,GSM98770,train,cancer
GDS2771,1,1,GSM98771,train,cancer
GDS2771,1,1,GSM98772,train,cancer
GDS2771,1,1,GSM98773,train,cancer
GDS2771,1,1,GSM98774,train,cancer
GDS2771,1,1,GSM98775,train,cancer
GDS2771,1,1,GSM98776,train,cancer
GDS2771,1,1,GSM98777,train,cancer
GDS2771,1,1,GSM98778,train,cancer
GDS2771,1,1,GSM98779,train,cancer
GDS2771,1,1,GSM98780,train,cancer
GDS2771,1,1,GSM98781,train,cancer
GDS2771,1,1,GSM98782,train,cancer
GDS2771,1,1,GSM98784,train,cancer
GDS2771,1,1,GSM98871,train,cancer
GDS2771,1,1,GSM98872,train,cancer
GDS2771,1,1,GSM98874,train,cancer
GDS2771,1,1,GSM98875,train,cancer
GDS2771,1,1,GSM94079,test,no_cancer
GDS2771,1,1,GSM94081,test,no_cancer
GDS2771,1,1,GSM94098,test,no_cancer
GDS2771,1,1,GSM94112,test,no_cancer
GDS2771,1,1,GSM94118,test,no_cancer
GDS2771,1,1,GSM94134,test,no_cancer
GDS2771,1,1,GSM94143,test,no_cancer
GDS2771,1,1,GSM98786,test,no_cancer
GDS2771,1,1,GSM98800,test,no_cancer
GDS2771,1,1,GSM94028,test,cancer
GDS2771,1,1,GSM94033,test,cancer
GDS2771,1,1,GSM94038,test,cancer
GDS2771,1,1,GSM94045,test,cancer
GDS2771,1,1,GSM94051,test,cancer
GDS2771,1,1,GSM94063,test,cancer
GDS2771,1,1,GSM94166,test,cancer
GDS2771,1,1,GSM94175,test,cancer
GDS2771,1,1,GSM94177,test,cancer
GDS2771,1,1,GSM98783,test,cancer
GDS2771,1,1,GSM98873,test,cancer
GDS2771,1,2,GSM93997,train,no_cancer
GDS2771,1,2,GSM94077,train,no_cancer
GDS2771,1,2,GSM94078,train,no_cancer
GDS2771,1,2,GSM94079,train,no_cancer
GDS2771,1,2,GSM94080,train,no_cancer
GDS2771,1,2,GSM94081,train,no_cancer
GDS2771,1,2,GSM94083,train,no_cancer
GDS2771,1,2,GSM94084,train,no_cancer
GDS2771,1,2,GSM94085,train,no_cancer
GDS2771,1,2,GSM94086,train,no_cancer
GDS2771,1,2,GSM94087,train,no_cancer
GDS2771,1,2,GSM94088,train,no_cancer
GDS2771,1,2,GSM94089,train,no_cancer
GDS2771,1,2,GSM94090,train,no_cancer
GDS2771,1,2,GSM94091,train,no_cancer
GDS2771,1,2,GSM94092,train,no_cancer
GDS2771,1,2,GSM94093,train,no_cancer
GDS2771,1,2,GSM94094,train,no_cancer
GDS2771,1,2,GSM94095,train,no_cancer
GDS2771,1,2,GSM94096,train,no_cancer
GDS2771,1,2,GSM94097,train,no_cancer
GDS2771,1,2,GSM94098,train,no_cancer
GDS2771,1,2,GSM94099,train,no_cancer
GDS2771,1,2,GSM94100,train,no_cancer
GDS2771,1,2,GSM94102,train,no_cancer
GDS2771,1,2,GSM94103,train,no_cancer
GDS2771,1,2,GSM94104,train,no_cancer
GDS2771,1,2,GSM94105,train,no_cancer
GDS2771,1,2,GSM94106,train,no_cancer
GDS2771,1,2,GSM94108,train,no_cancer
GDS2771,1,2,GSM94109,train,no_cancer
GDS2771,1,2,GSM94111,train,no_cancer
GDS2771,1,2,GSM94112,train,no_cancer
GDS2771,1,2,GSM94113,train,no_cancer
GDS2771,1,2,GSM94114,train,no_cancer
GDS2771,1,2,GSM94115,train,no_cancer
GDS2771,1,2,GSM94116,train,no_cancer
GDS2771,1,2,GSM94117,train,no_cancer
GDS2771,1,2,GSM94118,train,no_cancer
GDS2771,1,2,GSM94119,train,no_cancer
GDS2771,1,2,GSM94120,train,no_cancer
GDS2771,1,2,GSM94121,train,no_cancer
GDS2771,1,2,GSM94122,train,no_cancer
GDS2771,1,2,GSM94123,train,no_cancer
GDS2771,1,2,GSM94124,train,no_cancer
GDS2771,1,2,GSM94125,train,no_cancer
GDS2771,1,2,GSM94126,train,no_cancer
GDS2771,1,2,GSM94127,train,no_cancer
GDS2771,1,2,GSM94128,train,no_cancer
GDS2771,1,2,GSM94129,train,no_cancer
GDS2771,1,2,GSM94130,train,no_cancer
GDS2771,1,2,GSM94131,train,no_cancer
GDS2771,1,2,GSM94132,train,no_cancer
GDS2771,1,2,GSM94133,train,no_cancer
GDS2771,1,2,GSM94134,train,no_cancer
GDS2771,1,2,GSM94135,train,no_cancer
GDS2771,1,2,GSM94136,train,no_cancer
GDS2771,1,2,GSM94137,train,no_cancer
GDS2771,1,2,GSM94138,train,no_cancer
GDS2771,1,2,GSM94140,train,no_cancer
GDS2771,1,2,GSM94141,train,no_cancer
GDS2771,1,2,GSM94142,train,no_cancer
GDS2771,1,2,GSM94143,train,no_cancer
GDS2771,1,2,GSM94144,train,no_cancer
GDS2771,1,2,GSM94145,train,no_cancer
GDS2771,1,2,GSM94146,train,no_cancer
GDS2771,1,2,GSM94147,train,no_cancer
GDS2771,1,2,GSM94148,train,no_cancer
GDS2771,1,2,GSM98785,train,no_cancer
GDS2771,1,2,GSM98786,train,no_cancer
GDS2771,1,2,GSM98787,train,no_cancer
GDS2771,1,2,GSM98789,train,no_cancer
GDS2771,1,2,GSM98790,train,no_cancer
GDS2771,1,2,GSM98791,train,no_cancer
GDS2771,1,2,GSM98792,train,no_cancer
GDS2771,1,2,GSM98793,train,no_cancer
GDS2771,1,2,GSM98794,train,no_cancer
GDS2771,1,2,GSM98795,train,no_cancer
GDS2771,1,2,GSM98798,train,no_cancer
GDS2771,1,2,GSM98799,train,no_cancer
GDS2771,1,2,GSM98800,train,no_cancer
GDS2771,1,2,GSM94019,train,cancer
GDS2771,1,2,GSM94020,train,cancer
GDS2771,1,2,GSM94021,train,cancer
GDS2771,1,2,GSM94022,train,cancer
GDS2771,1,2,GSM94023,train,cancer
GDS2771,1,2,GSM94024,train,cancer
GDS2771,1,2,GSM94025,train,cancer
GDS2771,1,2,GSM94026,train,cancer
GDS2771,1,2,GSM94027,train,cancer
GDS2771,1,2,GSM94028,train,cancer
GDS2771,1,2,GSM94029,train,cancer
GDS2771,1,2,GSM94031,train,cancer
GDS2771,1,2,GSM94032,train,cancer
GDS2771,1,2,GSM94033,train,cancer
GDS2771,1,2,GSM94034,train,cancer
GDS2771,1,2,GSM94035,train,cancer
GDS2771,1,2,GSM94036,train,cancer
GDS2771,1,2,GSM94037,train,cancer
GDS2771,1,2,GSM94038,train,cancer
GDS2771,1,2,GSM94039,train,cancer
GDS2771,1,2,GSM94040,train,cancer
GDS2771,1,2,GSM94041,train,cancer
GDS2771,1,2,GSM94042,train,cancer
GDS2771,1,2,GSM94043,train,cancer
GDS2771,1,2,GSM94044,train,cancer
GDS2771,1,2,GSM94045,train,cancer
GDS2771,1,2,GSM94046,train,cancer
GDS2771,1,2,GSM94047,train,cancer
GDS2771,1,2,GSM94048,train,cancer
GDS2771,1,2,GSM94049,train,cancer
GDS2771,1,2,GSM94050,train,cancer
GDS2771,1,2,GSM94051,train,cancer
GDS2771,1,2,GSM94053,train,cancer
GDS2771,1,2,GSM94054,train,cancer
GDS2771,1,2,GSM94055,train,cancer
GDS2771,1,2,GSM94056,train,cancer
GDS2771,1,2,GSM94057,train,cancer
GDS2771,1,2,GSM94058,train,cancer
GDS2771,1,2,GSM94059,train,cancer
GDS2771,1,2,GSM94060,train,cancer
GDS2771,1,2,GSM94061,train,cancer
GDS2771,1,2,GSM94063,train,cancer
GDS2771,1,2,GSM94065,train,cancer
GDS2771,1,2,GSM94067,train,cancer
GDS2771,1,2,GSM94068,train,cancer
GDS2771,1,2,GSM94069,train,cancer
GDS2771,1,2,GSM94072,train,cancer
GDS2771,1,2,GSM94073,train,cancer
GDS2771,1,2,GSM94074,train,cancer
GDS2771,1,2,GSM94075,train,cancer
GDS2771,1,2,GSM94155,train,cancer
GDS2771,1,2,GSM94156,train,cancer
GDS2771,1,2,GSM94160,train,cancer
GDS2771,1,2,GSM94162,train,cancer
GDS2771,1,2,GSM94163,train,cancer
GDS2771,1,2,GSM94164,train,cancer
GDS2771,1,2,GSM94165,train,cancer
GDS2771,1,2,GSM94166,train,cancer
GDS2771,1,2,GSM94167,train,cancer
GDS2771,1,2,GSM94168,train,cancer
GDS2771,1,2,GSM94169,train,cancer
GDS2771,1,2,GSM94170,train,cancer
GDS2771,1,2,GSM94171,train,cancer
GDS2771,1,2,GSM94172,train,cancer
GDS2771,1,2,GSM94173,train,cancer
GDS2771,1,2,GSM94174,train,cancer
GDS2771,1,2,GSM94175,train,cancer
GDS2771,1,2,GSM94176,train,cancer
GDS2771,1,2,GSM94177,train,cancer
GDS2771,1,2,GSM94178,train,cancer
GDS2771,1,2,GSM98767,train,cancer
GDS2771,1,2,GSM98768,train,cancer
GDS2771,1,2,GSM98769,train,cancer
GDS2771,1,2,GSM98771,train,cancer
GDS2771,1,2,GSM98772,train,cancer
GDS2771,1,2,GSM98773,train,cancer
GDS2771,1,2,GSM98774,train,cancer
GDS2771,1,2,GSM98775,train,cancer
GDS2771,1,2,GSM98776,train,cancer
GDS2771,1,2,GSM98777,train,cancer
GDS2771,1,2,GSM98779,train,cancer
GDS2771,1,2,GSM98780,train,cancer
GDS2771,1,2,GSM98781,train,cancer
GDS2771,1,2,GSM98782,train,cancer
GDS2771,1,2,GSM98783,train,cancer
GDS2771,1,2,GSM98784,train,cancer
GDS2771,1,2,GSM98871,train,cancer
GDS2771,1,2,GSM98872,train,cancer
GDS2771,1,2,GSM98873,train,cancer
GDS2771,1,2,GSM98874,train,cancer
GDS2771,1,2,GSM98875,train,cancer
GDS2771,1,2,GSM94082,test,no_cancer
GDS2771,1,2,GSM94101,test,no_cancer
GDS2771,1,2,GSM94107,test,no_cancer
GDS2771,1,2,GSM94110,test,no_cancer
GDS2771,1,2,GSM94139,test,no_cancer
GDS2771,1,2,GSM98788,test,no_cancer
GDS2771,1,2,GSM98796,test,no_cancer
GDS2771,1,2,GSM98797,test,no_cancer
GDS2771,1,2,GSM98801,test,no_cancer
GDS2771,1,2,GSM94030,test,cancer
GDS2771,1,2,GSM94052,test,cancer
GDS2771,1,2,GSM94062,test,cancer
GDS2771,1,2,GSM94064,test,cancer
GDS2771,1,2,GSM94066,test,cancer
GDS2771,1,2,GSM94070,test,cancer
GDS2771,1,2,GSM94071,test,cancer
GDS2771,1,2,GSM94157,test,cancer
GDS2771,1,2,GSM94161,test,cancer
GDS2771,1,2,GSM98770,test,cancer
GDS2771,1,2,GSM98778,test,cancer
GDS2771,1,3,GSM93997,train,no_cancer
GDS2771,1,3,GSM94077,train,no_cancer
GDS2771,1,3,GSM94078,train,no_cancer
GDS2771,1,3,GSM94079,train,no_cancer
GDS2771,1,3,GSM94080,train,no_cancer
GDS2771,1,3,GSM94081,train,no_cancer
GDS2771,1,3,GSM94082,train,no_cancer
GDS2771,1,3,GSM94083,train,no_cancer
GDS2771,1,3,GSM94084,train,no_cancer
GDS2771,1,3,GSM94085,train,no_cancer
GDS2771,1,3,GSM94089,train,no_cancer
GDS2771,1,3,GSM94090,train,no_cancer
GDS2771,1,3,GSM94091,train,no_cancer
GDS2771,1,3,GSM94092,train,no_cancer
GDS2771,1,3,GSM94093,train,no_cancer
GDS2771,1,3,GSM94094,train,no_cancer
GDS2771,1,3,GSM94095,train,no_cancer
GDS2771,1,3,GSM94096,train,no_cancer
GDS2771,1,3,GSM94097,train,no_cancer
GDS2771,1,3,GSM94098,train,no_cancer
GDS2771,1,3,GSM94099,train,no_cancer
GDS2771,1,3,GSM94100,train,no_cancer
GDS2771,1,3,GSM94101,train,no_cancer
GDS2771,1,3,GSM94103,train,no_cancer
GDS2771,1,3,GSM94104,train,no_cancer
GDS2771,1,3,GSM94105,train,no_cancer
GDS2771,1,3,GSM94106,train,no_cancer
GDS2771,1,3,GSM94107,train,no_cancer
GDS2771,1,3,GSM94108,train,no_cancer
GDS2771,1,3,GSM94110,train,no_cancer
GDS2771,1,3,GSM94111,train,no_cancer
GDS2771,1,3,GSM94112,train,no_cancer
GDS2771,1,3,GSM94113,train,no_cancer
GDS2771,1,3,GSM94114,train,no_cancer
GDS2771,1,3,GSM94115,train,no_cancer
GDS2771,1,3,GSM94116,train,no_cancer
GDS2771,1,3,GSM94117,train,no_cancer
GDS2771,1,3,GSM94118,train,no_cancer
GDS2771,1,3,GSM94119,train,no_cancer
GDS2771,1,3,GSM94121,train,no_cancer
GDS2771,1,3,GSM94122,train,no_cancer
GDS2771,1,3,GSM94123,train,no_cancer
GDS2771,1,3,GSM94125,train,no_cancer
GDS2771,1,3,GSM94126,train,no_cancer
GDS2771,1,3,GSM94127,train,no_cancer
GDS2771,1,3,GSM94128,train,no_cancer
GDS2771,1,3,GSM94129,train,no_cancer
GDS2771,1,3,GSM94130,train,no_cancer
GDS2771,1,3,GSM94131,train,no_cancer
GDS2771,1,3,GSM94132,train,no_cancer
GDS2771,1,3,GSM94133,train,no_cancer
GDS2771,1,3,GSM94134,train,no_cancer
GDS2771,1,3,GSM94135,train,no_cancer
GDS2771,1,3,GSM94136,train,no_cancer
GDS2771,1,3,GSM94137,train,no_cancer
GDS2771,1,3,GSM94138,train,no_cancer
GDS2771,1,3,GSM94139,train,no_cancer
GDS2771,1,3,GSM94140,train,no_cancer
GDS2771,1,3,GSM94142,train,no_cancer
GDS2771,1,3,GSM94143,train,no_cancer
GDS2771,1,3,GSM94144,train,no_cancer
GDS2771,1,3,GSM94145,train,no_cancer
GDS2771,1,3,GSM94146,train,no_cancer
GDS2771,1,3,GSM94147,train,no_cancer
GDS2771,1,3,GSM98785,train,no_cancer
GDS2771,1,3,GSM98786,train,no_cancer
GDS2771,1,3,GSM98787,train,no_cancer
GDS2771,1,3,GSM98788,train,no_cancer
GDS2771,1,3,GSM98789,train,no_cancer
GDS2771,1,3,GSM98790,train,no_cancer
GDS2771,1,3,GSM98791,train,no_cancer
GDS2771,1,3,GSM98792,train,no_cancer
GDS2771,1,3,GSM98793,train,no_cancer
GDS2771,1,3,GSM98794,train,no_cancer
GDS2771,1,3,GSM98795,train,no_cancer
GDS2771,1,3,GSM98796,train,no_cancer
GDS2771,1,3,GSM98797,train,no_cancer
GDS2771,1,3,GSM98798,train,no_cancer
GDS2771,1,3,GSM98799,train,no_cancer
GDS2771,1,3,GSM98800,train,no_cancer
GDS2771,1,3,GSM98801,train,no_cancer
GDS2771,1,3,GSM94019,train,cancer
GDS2771,1,3,GSM94020,train,cancer
GDS2771,1,3,GSM94022,train,cancer
GDS2771,1,3,GSM94023,train,cancer
GDS2771,1,3,GSM94024,train,cancer
GDS2771,1,3,GSM94025,train,cancer
GDS2771,1,3,GSM94026,train,cancer
GDS2771,1,3,GSM94027,train,cancer
GDS2771,1,3,GSM94028,train,cancer
GDS2771,1,3,GSM94029,train,cancer
GDS2771,1,3,GSM94030,train,cancer
GDS2771,1,3,GSM94031,train,cancer
GDS2771,1,3,GSM94032,train,cancer
GDS2771,1,3,GSM94033,train,cancer
GDS2771,1,3,GSM94034,train,cancer
GDS2771,1,3,GSM94035,train,cancer
GDS2771,1,3,GSM94036,train,cancer
GDS2771,1,3,GSM94037,train,cancer
GDS2771,1,3,GSM94038,train,cancer
GDS2771,1,3,GSM94039,train,cancer
GDS2771,1,3,GSM94040,train,cancer
GDS2771,1,3,GSM94041,train,cancer
GDS2771,1,3,GSM94042,train,cancer
GDS2771,1,3,GSM94043,train,cancer
GDS2771,1,3,GSM94044,train,cancer
GDS2771,1,3,GSM94045,train,cancer
GDS2771,1,3,GSM94046,train,cancer
GDS2771,1,3,GSM94047,train,cancer
GDS2771,1,3,GSM94048,train,cancer
GDS2771,1,3,GSM94049,train,cancer
GDS2771,1,3,GSM94050,train,cancer
GDS2771,1,3,GSM94051,train,cancer
GDS2771,1,3,GSM94052,train,cancer
GDS2771,1,3,GSM94053,train,cancer
GDS2771,1,3,GSM94054,train,cancer
GDS2771,1,3,GSM94055,train,cancer
GDS2771,1,3,GSM94056,train,cancer
GDS2771,1,3,GSM94057,train,cancer
GDS2771,1,3,GSM94058,train,cancer
GDS2771,1,3,GSM94059,train,cancer
GDS2771,1,3,GSM94060,train,cancer
GDS2771,1,3,GSM94061,train,cancer
GDS2771,1,3,GSM94062,train,cancer
GDS2771,1,3,GSM94063,train,cancer
GDS2771,1,3,GSM94064,train,cancer
GDS2771,1,3,GSM94065,train,cancer
GDS2771,1,3,GSM94066,train,cancer
GDS2771,1,3,GSM94067,train,cancer
GDS2771,1,3,GSM94068,train,cancer
GDS2771,1,3,GSM94069,train,cancer
GDS2771,1,3,GSM94070,train,cancer
GDS2771,1,3,GSM94071,train,cancer
GDS2771,1,3,GSM94072,train,cancer
GDS2771,1,3,GSM94073,train,cancer
GDS2771,1,3,GSM94074,train,cancer
GDS2771,1,3,GSM94075,train,cancer
GDS2771,1,3,GSM94156,train,cancer
GDS2771,1,3,GSM94157,train,cancer
GDS2771,1,3,GSM94160,train,cancer
GDS2771,1,3,GSM94161,train,cancer
GDS2771,1,3,GSM94162,train,cancer
GDS2771,1,3,GSM94163,train,cancer
GDS2771,1,3,GSM94164,train,cancer
GDS2771,1,3,GSM94165,train,cancer
GDS2771,1,3,GSM94166,train,cancer
GDS2771,1,3,GSM94167,train,cancer
GDS2771,1,3,GSM94170,train,cancer
GDS2771,1,3,GSM94171,train,cancer
GDS2771,1,3,GSM94172,train,cancer
GDS2771,1,3,GSM94173,train,cancer
GDS2771,1,3,GSM94175,train,cancer
GDS2771,1,3,GSM94176,train,cancer
GDS2771,1,3,GSM94177,train,cancer
GDS2771,1,3,GSM98767,train,cancer
GDS2771,1,3,GSM98768,train,cancer
GDS2771,1,3,GSM98769,train,cancer
GDS2771,1,3,GSM98770,train,cancer
GDS2771,1,3,GSM98771,train,cancer
GDS2771,1,3,GSM98772,train,cancer
GDS2771,1,3,GSM98773,train,cancer
GDS2771,1,3,GSM98775,train,cancer
GDS2771,1,3,GSM98777,train,cancer
GDS2771,1,3,GSM98778,train,cancer
GDS2771,1,3,GSM98779,train,cancer
GDS2771,1,3,GSM98780,train,cancer
GDS2771,1,3,GSM98781,train,cancer
GDS2771,1,3,GSM98783,train,cancer
GDS2771,1,3,GSM98784,train,cancer
GDS2771,1,3,GSM98871,train,cancer
GDS2771,1,3,GSM98872,train,cancer
GDS2771,1,3,GSM98873,train,cancer
GDS2771,1,3,GSM98874,train,cancer
GDS2771,1,3,GSM94086,test,no_cancer
GDS2771,1,3,GSM94087,test,no_cancer
GDS2771,1,3,GSM94088,test,no_cancer
GDS2771,1,3,GSM94102,test,no_cancer
GDS2771,1,3,GSM94109,test,no_cancer
GDS2771,1,3,GSM94120,test,no_cancer
GDS2771,1,3,GSM94124,test,no_cancer
GDS2771,1,3,GSM94141,test,no_cancer
GDS2771,1,3,GSM94148,test,no_cancer
GDS2771,1,3,GSM94021,test,cancer
GDS2771,1,3,GSM94155,test,cancer
GDS2771,1,3,GSM94168,test,cancer
GDS2771,1,3,GSM94169,test,cancer
GDS2771,1,3,GSM94174,test,cancer
GDS2771,1,3,GSM94178,test,cancer
GDS2771,1,3,GSM98774,test,cancer
GDS2771,1,3,GSM98776,test,cancer
GDS2771,1,3,GSM98782,test,cancer
GDS2771,1,3,GSM98875,test,cancer
GDS2771,1,4,GSM93997,train,no_cancer
GDS2771,1,4,GSM94077,train,no_cancer
GDS2771,1,4,GSM94078,train,no_cancer
GDS2771,1,4,GSM94079,train,no_cancer
GDS2771,1,4,GSM94080,train,no_cancer
GDS2771,1,4,GSM94081,train,no_cancer
GDS2771,1,4,GSM94082,train,no_cancer
GDS2771,1,4,GSM94083,train,no_cancer
GDS2771,1,4,GSM94084,train,no_cancer
GDS2771,1,4,GSM94085,train,no_cancer
GDS2771,1,4,GSM94086,train,no_cancer
GDS2771,1,4,GSM94087,train,no_cancer
GDS2771,1,4,GSM94088,train,no_cancer
GDS2771,1,4,GSM94090,train,no_cancer
GDS2771,1,4,GSM94091,train,no_cancer
GDS2771,1,4,GSM94092,train,no_cancer
GDS2771,1,4,GSM94093,train,no_cancer
GDS2771,1,4,GSM94094,train,no_cancer
GDS2771,1,4,GSM94095,train,no_cancer
GDS2771,1,4,GSM94096,train,no_cancer
GDS2771,1,4,GSM94097,train,no_cancer
GDS2771,1,4,GSM94098,train,no_cancer
GDS2771,1,4,GSM94099,train,no_cancer
GDS2771,1,4,GSM94100,train,no_cancer
GDS2771,1,4,GSM94101,train,no_cancer
GDS2771,1,4,GSM94102,train,no_cancer
GDS2771,1,4,GSM94103,train,no_cancer
GDS2771,1,4,GSM94105,train,no_cancer
GDS2771,1,4,GSM94106,train,no_cancer
GDS2771,1,4,GSM94107,train,no_cancer
